 Morbidade Hospitalar do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses, Seqüelas de tuberculose
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";6049,22;21995,73;9693,74;29097,12;19173,39;43978,18;22888,71;38035,85;47962,80;123719,48;92241,86;62203,43;43681,72;36594,01;597315,24
"12 Acre";16225,78;49309,19;36829,04;37147,45;83456,01;31936,07;61377,84;60609,14;66183,01;43825,24;66576,36;53062,75;52082,15;8766,11;667386,14
"13 Amazonas";168393,07;188176,89;666506,63;612726,87;373920,88;431555,32;250985,33;218226,07;74270,55;141878,42;161919,74;163284,81;113340,10;27314,74;3592499,42
"14 Roraima";8048,91;7127,03;22220,68;8477,28;6912,60;8457,32;2255,74;7407,29;12936,99;21897,56;54607,17;51781,08;62334,86;13834,12;288298,63
"15 Pará";353502,20;561839,91;469919,42;415358,82;244100,67;297348,59;423461,16;437292,69;430170,63;451235,37;353326,53;447731,04;418466,72;135313,75;5439067,50
"16 Amapá";15402,75;7507,32;6561,09;10190,63;9950,98;12186,10;4983,38;7556,58;9905,35;1962,94;3511,28;6768,29;370,92;3792,29;100649,90
"17 Tocantins";52688,27;113017,22;103575,51;66250,45;73774,40;77153,07;82021,71;51197,07;90906,97;57854,53;69635,63;60516,28;38613,39;17299,87;954504,37
"21 Maranhão";164720,03;28508,49;52930,07;207472,23;141130,23;134209,36;116561,76;160204,23;174176,31;230229,27;215316,58;297566,66;288847,46;94173,58;2306046,26
"22 Piauí";109295,61;115310,50;134090,43;86419,88;43809,00;41019,07;25523,92;198100,56;233678,30;210298,19;294869,37;189532,36;221788,42;85216,53;1988952,14
"23 Ceará";932285,30;1054607,31;859248,52;713055,35;693382,09;831445,34;889964,73;808712,76;875629,16;718055,17;761375,79;923748,46;950929,36;204939,67;11217379,01
"24 Rio Grande do Norte";381008,57;898284,44;701314,06;804122,71;843640,06;639388,69;708543,26;686239,43;745976,04;580614,52;899415,90;743127,05;673064,70;274293,37;9579032,80
"25 Paraíba";563551,06;827517,75;1154982,77;1102669,13;1201485,96;1142730,20;1229956,91;869665,25;850254,85;739452,55;979535,52;1114695,87;575950,55;211820,51;12564268,88
"26 Pernambuco";3074421,12;2718731,40;2780628,64;3634730,29;4437292,99;4346761,04;3030078,26;3585974,41;3288276,66;3501371,84;4104206,30;3211207,37;2250559,76;596278,51;44560518,59
