 Morbidade Hospitalar do SUS - por local de internação - Pará
Valor total por Ano processamento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses, Seqüelas de tuberculose
Período:Jan/2008-Abr/2021
"Ano processamento";"Valor_total"
"2008";353502,20
"2009";561839,91
"2010";469919,42
"2011";415358,82
"2012";244100,67
"2013";297348,59
"2014";423461,16
"2015";437292,69
"2016";430170,63
"2017";451235,37
"2018";353326,53
"2019";447731,04
"2020";418466,72
"2021";135313,75
"Total";5439067,50
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
