 Morbidade Hospitalar do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano atendimento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses, Seqüelas de tuberculose
Faixa Etária 1: Menor 1 ano, 1 a 4 anos, 5 a 9 anos
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;152,68;494,76;372,19;6047,47;699,67;633,20;114,46;1518,62;493,03;-;523,35;98,46;-;1198,81;12346,70
"12 Acre";-;383,38;891,54;106,46;-;98,46;209,73;82,46;385,73;-;266,46;3791,87;115,80;5563,55;341,08;12236,52
"13 Amazonas";513,08;62519,84;7712,83;12418,66;5989,44;2745,20;508,30;82,46;1086,98;2069,91;21595,93;28176,28;28414,30;1599,59;3849,07;179281,87
"14 Roraima";-;4563,38;163,46;-;1029,27;258,87;-;-;-;254,30;146,46;44966,82;16366,17;3978,85;-;71727,58
"15 Pará";3152,28;34950,90;21276,25;32858,68;31792,81;19536,04;17247,19;55550,10;41208,47;25107,53;36889,24;39349,75;22866,71;33765,86;2515,27;418067,08
"16 Amapá";-;-;-;-;120,41;164,92;-;-;391,08;582,42;-;622,42;756,90;-;1548,35;4186,50
"17 Tocantins";-;8550,00;14097,15;27313,92;8958,63;14928,79;15066,40;13627,21;11984,92;14910,54;12243,37;1447,33;2637,04;640,88;-;146406,18
"21 Maranhão";3673,07;25697,54;3785,54;1211,29;9240,98;6531,00;3749,54;2358,86;3650,30;2727,33;20050,16;11137,58;4462,79;5044,13;754,06;104074,17
"22 Piauí";735,45;2856,80;82,46;1033,01;518,75;-;154,46;170,46;9822,97;3775,65;34937,39;72024,40;63226,73;110387,16;13579,10;313304,79
"23 Ceará";358,36;56392,99;11806,10;7170,20;15466,36;9246,36;17123,86;14558,81;7982,80;15183,81;8320,16;12240,10;19107,30;7188,01;234,87;202380,09
"24 Rio Grande do Norte";76,34;492,74;-;17282,50;-;3195,42;1447,36;2173,50;9166,13;7264,27;1508,88;2140,69;2821,77;-;-;47569,60
"25 Paraíba";2758,94;21203,92;10947,58;938,00;1302,00;762,95;964,68;2329,89;2444,41;3675,13;2276,28;981,96;3785,02;3927,80;154,46;58453,02
"26 Pernambuco";9939,46;166775,00;80905,80;78168,66;33688,62;86867,93;136484,06;77149,51;82003,80;129215,86;103844,67;94720,72;138787,31;106169,02;30146,25;1354866,67
"27 Alagoas";2207,70;11158,62;20067,66;8655,67;19155,39;17167,35;38897,42;10435,89;2838,70;16902,26;6671,40;8227,24;58274,70;3277,43;1356,90;225294,33
"28 Sergipe";524,08;4236,32;108,89;-;-;-;466,70;-;1671,19;129,73;-;-;13094,24;82,46;308,62;20622,23
"29 Bahia";610,72;40711,53;52168,13;29991,65;16232,43;19355,34;23528,93;10508,05;28075,38;80833,49;23006,06;41152,19;45859,64;23776,63;-;435810,17
"31 Minas Gerais";40082,76;162822,60;140689,58;88295,44;27644,18;85213,95;33174,25;88757,47;60620,52;155975,59;148601,46;66196,86;88820,01;209968,60;5135,73;1401999,00
"32 Espírito Santo";-;1931,38;1312,39;271,37;1532,03;4832,86;9438,52;1029,44;5417,70;7882,76;7070,11;7984,96;17609,79;26270,60;732,07;93315,98
"33 Rio de Janeiro";1024,15;45522,97;29035,92;98195,36;109302,54;87019,86;74909,04;25756,35;71794,79;69478,83;35587,46;26748,73;44521,64;64230,10;8595,66;791723,40
"35 São Paulo";8766,13;139305,77;135342,88;55096,82;107885,55;83219,14;58992,90;82493,41;93228,56;205707,12;186729,77;117916,76;171569,45;254480,30;32409,62;1733144,18
"41 Paraná";16396,80;204887,39;33615,60;31139,16;26307,38;25502,54;1878,76;9128,66;30998,57;89485,75;168331,84;110636,42;39922,83;133811,52;5124,04;927167,26
"42 Santa Catarina";-;5719,34;24466,04;5985,39;2970,60;4185,27;7214,80;1143,65;12625,34;4269,44;2261,49;4722,31;4196,57;7200,18;234,87;87195,29
"43 Rio Grande do Sul";12510,75;191425,52;52562,44;32739,53;72455,87;52075,88;33560,43;25294,52;30193,06;48529,78;33468,40;122009,91;111490,35;93259,68;15472,25;927048,37
"50 Mato Grosso do Sul";8598,86;49502,43;19496,75;42816,30;11126,92;1819,85;18761,43;24925,18;41711,72;34754,58;84916,32;28435,70;68072,55;52505,22;-;487443,81
"51 Mato Grosso";-;21784,00;1008,04;59590,98;1202,64;1220,97;10063,63;2384,21;8527,04;5929,17;271,38;12701,95;5467,09;865,91;-;131017,01
"52 Goiás";6703,00;89951,20;32990,20;93727,31;17361,03;13182,31;17588,85;17118,22;37998,22;20001,20;4178,90;24739,79;42589,55;32515,52;6537,80;457183,10
"53 Distrito Federal";76,34;3180,68;6371,20;164,92;-;590,76;300,92;388,92;1861,19;1178,69;6330,88;550,76;29344,41;46151,05;-;96490,72
"Total";118708,27;1356678,92;701399,19;725543,47;527331,30;540421,69;522365,36;467561,69;599208,19;946318,17;949504,47;884146,85;1044279,12;1226660,05;130228,88;10740355,62
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
