 Mortalidade - Brasil
Óbitos p/Ocorrênc por Unidade da Federação e Ano do Óbito
Categoria CID-10: A15   Tuberc respirat c/conf bacteriol e histolog, A16   Tuberc vias respirat s/conf bacter histol, A17   Tuberc do sist nervoso, A18   Tuberc de outr orgaos, A19   Tuberc miliar, B90   Sequelas de tuberc, J65   Pneumoconiose assoc c/tuberc
Período:1996-2019
"Unidade da Federação";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";38;39;43;37;38;38;39;52;35;35;32;26;38;23;29;27;25;33;25;31;23;30;23;21;780
"12 Acre";29;24;18;23;22;27;21;23;18;31;22;30;16;18;17;19;8;33;22;22;20;15;31;29;538
"13 Amazonas";100;89;86;99;122;129;118;113;103;112;117;105;122;148;121;137;136;146;138;134;168;167;174;203;3087
"14 Roraima";12;13;21;11;12;13;7;8;7;10;6;3;3;2;5;9;8;8;4;4;9;8;12;21;216
"15 Pará";96;118;134;155;131;180;133;154;182;156;161;181;183;183;174;214;213;234;227;213;217;268;218;263;4388
"16 Amapá";10;9;7;13;9;11;10;7;5;13;9;11;7;12;14;19;17;12;14;16;13;12;11;13;274
"17 Tocantins";16;16;15;22;12;17;9;11;16;16;18;20;15;16;18;27;8;25;12;15;6;12;15;15;372
"21 Maranhão";87;72;130;116;110;119;111;108;143;178;183;169;190;199;188;188;152;168;168;165;177;173;164;183;3641
"22 Piauí";42;50;66;78;76;67;95;89;88;91;91;93;97;93;86;65;63;93;58;46;85;65;61;68;1806
"23 Ceará";176;231;307;284;236;295;269;228;254;287;320;294;315;319;282;288;263;271;234;248;231;241;253;263;6389
"24 Rio Grande do Norte";50;92;95;88;85;71;61;61;65;64;61;84;88;64;77;86;76;82;75;75;73;81;97;79;1830
"25 Paraíba";50;71;55;57;60;58;88;114;85;151;121;70;81;87;95;90;77;67;74;91;83;68;76;66;1935
"26 Pernambuco";417;466;529;457;447;446;427;450;477;455;432;461;434;416;388;379;419;379;446;439;446;480;428;409;10527
"27 Alagoas";65;58;96;62;67;82;91;90;72;78;87;88;100;103;93;95;99;109;117;80;81;81;69;79;2042
"28 Sergipe";32;46;56;48;42;42;31;38;50;46;48;41;42;52;47;51;46;51;59;47;50;45;49;45;1104
"29 Bahia";489;427;454;496;482;477;496;477;454;422;472;461;463;445;444;389;397;455;390;448;351;427;340;345;10501
"31 Minas Gerais";380;392;385;384;366;345;352;359;386;362;348;345;346;361;331;311;321;254;256;279;282;274;258;259;7936
"32 Espírito Santo";84;87;89;85;79;74;68;88;88;65;88;80;83;77;72;70;89;96;83;85;84;77;89;94;1974
"33 Rio de Janeiro";1339;1211;1197;1158;996;1089;1013;935;959;834;886;861;900;865;940;877;815;855;872;854;750;722;756;685;22369
"35 São Paulo";1588;1715;1647;1732;1641;1443;1303;1276;1186;1056;1078;1008;1011;1009;943;925;931;972;888;938;932;978;956;965;28121
"41 Paraná";250;285;265;257;274;233;218;244;215;191;199;170;175;155;134;143;120;154;128;145;159;140;149;170;4573
"42 Santa Catarina";75;90;62;69;64;65;64;61;63;55;59;54;66;73;64;70;52;63;66;56;79;70;79;89;1608
"43 Rio Grande do Sul";353;381;384;337;372;349;356;309;334;320;274;311;313;299;284;286;256;240;270;322;264;288;316;299;7517
"50 Mato Grosso do Sul";51;73;78;87;74;62;64;65;73;77;62;56;71;76;71;69;68;66;57;51;72;72;58;53;1606
"51 Mato Grosso";81;84;115;107;92;94;95;73;85;88;79;90;87;91;107;68;89;63;80;78;83;71;62;75;2037
"52 Goiás";52;64;69;63;72;59;58;70;72;75;68;66;60;64;47;51;80;74;57;66;60;62;63;64;1536
"53 Distrito Federal";38;46;34;42;36;42;38;39;42;30;21;27;19;18;23;32;29;30;28;30;28;26;31;39;768
"Total";6000;6249;6437;6367;6017;5927;5635;5542;5557;5298;5342;5205;5325;5268;5094;4985;4857;5033;4848;4978;4826;4953;4838;4894;129475
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
