 Mortalidade - Pará
Óbitos p/Ocorrênc por Ano do Óbito
Grupo CID-10: Tuberculose
Período:1996-2019
"Ano do Óbito";"Óbitos_p/Ocorrênc"
"1996";92
"1997";116
"1998";131
"1999";150
"2000";122
"2001";167
"2002";125
"2003";148
"2004";169
"2005";151
"2006";153
"2007";169
"2008";178
"2009";178
"2010";168
"2011";203
"2012";209
"2013";224
"2014";218
"2015";208
"2016";204
"2017";260
"2018";211
"2019";254
"Total";4208
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
